"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Coding\git git hub complete course\winter project\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 33, 71
"d:\Coding\git git hub complete course\winter project\package-lock.json", "JSON", 29867, 0, 0, 0, 0, 0, 1, 29868
"d:\Coding\git git hub complete course\winter project\package.json", "JSON", 45, 0, 0, 0, 0, 0, 1, 46
"d:\Coding\git git hub complete course\winter project\public\index.html", "HTML", 0, 0, 0, 40, 0, 0, 3, 43
"d:\Coding\git git hub complete course\winter project\src\App.css", "CSS", 0, 0, 16, 0, 0, 23, 1, 40
"d:\Coding\git git hub complete course\winter project\src\App.js", "JavaScript", 0, 0, 0, 0, 76, 0, 3, 79
"d:\Coding\git git hub complete course\winter project\src\components\booking\bookingfinal\Locationdetails.js", "JavaScript", 0, 0, 0, 0, 48, 3, 10, 61
"d:\Coding\git git hub complete course\winter project\src\components\booking\date_menu\DateMenu.js", "JavaScript", 0, 0, 0, 0, 90, 0, 5, 95
"d:\Coding\git git hub complete course\winter project\src\components\booking\date_menu\datemenu.css", "CSS", 0, 0, 157, 0, 0, 11, 15, 183
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\Location.js", "JavaScript", 0, 0, 0, 0, 48, 0, 7, 55
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\SelectedLocation\BookingLocationInfo.js", "JavaScript", 0, 0, 0, 0, 144, 0, 4, 148
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\SelectedLocation\bookinglocationinfo.css", "CSS", 0, 0, 110, 0, 0, 8, 8, 126
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\location.css", "CSS", 0, 0, 42, 0, 0, 1, 3, 46
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\locationcard\Location_card.js", "JavaScript", 0, 0, 0, 0, 129, 0, 3, 132
"d:\Coding\git git hub complete course\winter project\src\components\booking\location_avail\locationcard\locationcard.css", "CSS", 0, 0, 68, 0, 0, 2, 3, 73
"d:\Coding\git git hub complete course\winter project\src\components\footer\Footer.js", "JavaScript", 0, 0, 0, 0, 82, 0, 22, 104
"d:\Coding\git git hub complete course\winter project\src\components\footer\footer.css", "CSS", 0, 0, 105, 0, 0, 0, 23, 128
"d:\Coding\git git hub complete course\winter project\src\components\home\Home.js", "JavaScript", 0, 0, 0, 0, 16, 0, 3, 19
"d:\Coding\git git hub complete course\winter project\src\components\home\hero\Hero.js", "JavaScript", 0, 0, 0, 0, 30, 3, 4, 37
"d:\Coding\git git hub complete course\winter project\src\components\home\hero\hero.css", "CSS", 0, 0, 112, 0, 0, 4, 8, 124
"d:\Coding\git git hub complete course\winter project\src\components\home\home.css", "CSS", 0, 0, 21, 0, 0, 14, 6, 41
"d:\Coding\git git hub complete course\winter project\src\components\main\Main.js", "JavaScript", 0, 0, 0, 0, 17, 0, 4, 21
"d:\Coding\git git hub complete course\winter project\src\components\main\contact_us\Contact.js", "JavaScript", 0, 0, 0, 0, 62, 0, 3, 65
"d:\Coding\git git hub complete course\winter project\src\components\main\contact_us\contact.css", "CSS", 0, 0, 161, 0, 0, 10, 11, 182
"d:\Coding\git git hub complete course\winter project\src\components\main\how_it_works\Works.js", "JavaScript", 0, 0, 0, 0, 49, 0, 2, 51
"d:\Coding\git git hub complete course\winter project\src\components\main\how_it_works\works.css", "CSS", 0, 0, 58, 0, 0, 0, 3, 61
"d:\Coding\git git hub complete course\winter project\src\components\main\main.css", "CSS", 0, 0, 79, 0, 0, 2, 6, 87
"d:\Coding\git git hub complete course\winter project\src\components\main\our_services\Services.js", "JavaScript", 0, 0, 0, 0, 47, 0, 3, 50
"d:\Coding\git git hub complete course\winter project\src\components\main\our_services\services.css", "CSS", 0, 0, 99, 0, 0, 17, 9, 125
"d:\Coding\git git hub complete course\winter project\src\components\main\scan\Scan.js", "JavaScript", 0, 0, 0, 0, 30, 4, 3, 37
"d:\Coding\git git hub complete course\winter project\src\components\main\scan\scan.css", "CSS", 0, 0, 37, 0, 0, 0, 5, 42
"d:\Coding\git git hub complete course\winter project\src\components\main\testimonial\Testimonial.js", "JavaScript", 0, 0, 0, 0, 48, 0, 2, 50
"d:\Coding\git git hub complete course\winter project\src\components\main\testimonial\reviews.js", "JavaScript", 0, 0, 0, 0, 37, 0, 1, 38
"d:\Coding\git git hub complete course\winter project\src\components\navbar\Topbar.js", "JavaScript", 0, 0, 0, 0, 95, 2, 11, 108
"d:\Coding\git git hub complete course\winter project\src\components\navbar\topbar.css", "CSS", 0, 0, 110, 0, 0, 7, 14, 131
"d:\Coding\git git hub complete course\winter project\src\index.js", "JavaScript", 0, 0, 0, 0, 9, 0, 3, 12
"d:\Coding\git git hub complete course\winter project\src\pages\Booking.js", "JavaScript", 0, 0, 0, 0, 15, 1, 4, 20
"d:\Coding\git git hub complete course\winter project\src\pages\Bookingfinal.js", "JavaScript", 0, 0, 0, 0, 96, 1, 11, 108
"d:\Coding\git git hub complete course\winter project\src\pages\Landing.js", "JavaScript", 0, 0, 0, 0, 15, 0, 3, 18
"d:\Coding\git git hub complete course\winter project\src\pages\Login.js", "JavaScript", 0, 0, 0, 0, 66, 0, 4, 70
"d:\Coding\git git hub complete course\winter project\src\pages\Payment.js", "JavaScript", 0, 0, 0, 0, 77, 0, 6, 83
"d:\Coding\git git hub complete course\winter project\src\pages\Signup.js", "JavaScript", 0, 0, 0, 0, 68, 1, 2, 71
"d:\Coding\git git hub complete course\winter project\src\pages\booking.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 2
"d:\Coding\git git hub complete course\winter project\src\pages\bookingfinal.css", "CSS", 0, 0, 21, 0, 0, 3, 2, 26
"d:\Coding\git git hub complete course\winter project\src\pages\login.css", "CSS", 0, 0, 141, 0, 0, 0, 3, 144
"d:\Coding\git git hub complete course\winter project\src\pages\payment.css", "CSS", 0, 0, 117, 0, 0, 0, 5, 122
"d:\Coding\git git hub complete course\winter project\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 4, 1, 6
"Total", "-", 29912, 38, 1454, 40, 1395, 121, 289, 33249
